Data,Ticker,MarketCap,P/VP,Price,Rf
6/1/1995,AESB3,0,0,0,0.00124300003997213
6/1/1995,AALR3,0,0,0,0.00124300003997213
6/1/1995,ALPA4,221.6420612,0.5624747776,0.1125613465,0.00124300003997213
6/1/1995,ALUP11,0,0,0,0.00124300003997213
6/1/1995,ABEV3,2760.132761,2.820850667,0.1052378052,0.00124300003997213
6/1/1995,AMER3,0,0,0,0.00124300003997213
6/1/1995,ANIM3,0,0,0,0.00124300003997213
6/1/1995,ARZZ3,0,0,0,0.00124300003997213
6/1/1995,AZEV4,4.04999991,0.1007061843,0.3515209525,0.00124300003997213
6/1/1995,BLUT4,7.934162241,0,31658.04979,0.00124300003997213
6/1/1995,BRAP3,0,0,0,0.00124300003997213
6/1/1995,BRAP4,0,0,0,0.00124300003997213
6/1/1995,AGRO3,0,0,0,0.00124300003997213
6/1/1995,BRKM5,841.0480187,0,1.334361103,0.00124300003997213
6/1/1995,BRFS3,314.2116539,0,0,0.00124300003997213
6/1/1995,CCRO3,0,0,0,0.00124300003997213
6/1/1995,CLSC4,341.9356494,0,3.188349538,0.00124300003997213
6/1/1995,CMIG4,2666.295346,0,0.2579497453,0.00124300003997213
6/1/1995,CESP6,2345.396827,0,0,0.00124300003997213
6/1/1995,COCE5,0,0,0.09179468597,0.00124300003997213
6/1/1995,COGN3,0,0,0,0.00124300003997213
6/1/1995,CGAS5,0,0,0,0.00124300003997213
6/1/1995,CSMG3,0,0,0,0.00124300003997213
6/1/1995,CPLE6,1666.834154,0,0,0.00124300003997213
6/1/1995,CSAN3,0,0,0,0.00124300003997213
6/1/1995,CPFE3,0,0,0,0.00124300003997213
6/1/1995,CRPG5,34.80919564,0,0.4052002958,0.00124300003997213
6/1/1995,CARD3,0,0,0,0.00124300003997213
6/1/1995,CVCB3,0,0,0,0.00124300003997213
6/1/1995,CYRE3,0,0,0,0.00124300003997213
6/1/1995,DASA3,0,0,0,0.00124300003997213
6/1/1995,DXCO3,0,0,0,0.00124300003997213
6/1/1995,DEXP3,0,0,0,0.00124300003997213
6/1/1995,PNVL3,22.90125384,0.4313312276,0.060957235,0.00124300003997213
6/1/1995,DIRR3,0,0,0,0.00124300003997213
6/1/1995,ECOR3,0,0,0,0.00124300003997213
6/1/1995,ELET3,14135.781,0.2065813853,3.680898466,0.00124300003997213
6/1/1995,EMBR3,51.08603715,0,0.2788762434,0.00124300003997213
6/1/1995,ENAT3,0,0,0,0.00124300003997213
6/1/1995,ENBR3,0,0,0,0.00124300003997213
6/1/1995,ENGI3,0,#VALUE!,#VALUE!,0.00124300003997213
6/1/1995,ENEV3,0,0,0,0.00124300003997213
