Data;Ticker;Market Cap
01/06/1995;AESB3;0,00
01/06/1995;AALR3;0,00
01/06/1995;ALPA4;221.64
01/06/1995;ALUP11;0,00
01/06/1995;ABEV3;2760.13
01/06/1995;AMER3;0,00
01/06/1995;ANIM3;0,00
01/06/1995;ARZZ3;0,00
01/06/1995;AZEV4;4.05
01/06/1995;BLUT4;7.93
01/06/1995;BRAP3;0,00
01/06/1995;BRAP4;0,00
01/06/1995;AGRO3;0,00
01/06/1995;BRKM5;841.05
01/06/1995;BRFS3;314.21
01/06/1995;CCRO3;0,00
01/06/1995;CLSC4;341.94
01/06/1995;CMIG4;2666.3
01/06/1995;CESP6;2345.4
01/06/1995;COCE5;0,00
01/06/1995;COGN3;0,00
01/06/1995;CGAS5;0,00
01/06/1995;CSMG3;0,00
01/06/1995;CPLE6;1666.83
01/06/1995;CSAN3;0,00
01/06/1995;CPFE3;0,00
01/06/1995;CRPG5;34.81
01/06/1995;CARD3;0,00
01/06/1995;CVCB3;0,00
01/06/1995;CYRE3;0,00
01/06/1995;DASA3;0,00
01/06/1995;DXCO3;0,00
01/06/1995;DEXP3;0,00
01/06/1995;PNVL3;22.9
01/06/1995;DIRR3;0,00
01/06/1995;ECOR3;0,00
01/06/1995;ELET3;14135.78
01/06/1995;EMBR3;51.09
01/06/1995;ENAT3;0,00
01/06/1995;ENBR3;0,00
01/06/1995;ENGI3;0,00
01/06/1995;ENEV3;0,00
01/06/1995;EGIE3;0,00
01/06/1995;EQTL3;0,00
01/06/1995;ETER3;181.9
01/06/1995;EUCA4;59.64
01/06/1995;EVEN3;0,00
01/06/1995;EZTC3;0,00
01/06/1995;FHER3;0,00
01/06/1995;FESA4;24.72
01/06/1995;FLRY3;0,00
01/06/1995;FRAS3;11.23
01/06/1995;GFSA3;0,00
01/06/1995;GGBR4;100.04
01/06/1995;GOAU4;71.61
01/06/1995;GRND3;0,00
01/06/1995;NTCO3;0,00
01/06/1995;GUAR3;99.58
01/06/1995;HBOR3;0,00
01/06/1995;HYPE3;0,00
01/06/1995;PARD3;0,00
01/06/1995;MEAL3;0,00
01/06/1995;ROMI3;68.25
01/06/1995;MYPK3;97.19
01/06/1995;RANI3;0,00
01/06/1995;JBSS3;0,00
01/06/1995;JHSF3;0,00
01/06/1995;KEPL3;0,00
01/06/1995;KLBN11;751.33
01/06/1995;LIGT3;3231.55
01/06/1995;RENT3;0,00
01/06/1995;LCAM3;0,00
01/06/1995;LOGN3;0,00
01/06/1995;AMAR3;0,00
01/06/1995;LREN3;95.94
01/06/1995;LUPA3;0,00
01/06/1995;MDIA3;0,00
01/06/1995;MGLU3;0,00
01/06/1995;POMO4;117.07
01/06/1995;MRFG3;0,00
01/06/1995;LEVE3;55.76
01/06/1995;MILS3;0,00
01/06/1995;BEEF3;0,00
01/06/1995;MOVI3;0,00
01/06/1995;MRVE3;0,00
01/06/1995;ODPV3;0,00
01/06/1995;OIBR3;898.6
01/06/1995;OFSA3;0,00
01/06/1995;PCAR3;694.91
01/06/1995;PETR4;6287.29
01/06/1995;PRIO3;0,00
01/06/1995;PTBL3;0,00
01/06/1995;POSI3;0,00
01/06/1995;PFRM3;0,00
01/06/1995;QUAL3;0,00
01/06/1995;RADL3;0,00
01/06/1995;RAPT4;88.54
01/06/1995;RAIL3;0,00
01/06/1995;SBSP3;0,00
01/06/1995;SAPR4;0,00
01/06/1995;STBP3;0,00
01/06/1995;SMTO3;0,00
01/06/1995;SHUL4;29.23
01/06/1995;SEER3;0,00
01/06/1995;CSNA3;1496.87
01/06/1995;SQIA3;0,00
01/06/1995;SLCE3;0,00
01/06/1995;SGPS3;0,00
01/06/1995;TAEE11;0,00
01/06/1995;TASA4;21.65
01/06/1995;TECN3;0,00
01/06/1995;TCSA3;0,00
01/06/1995;TGMA3;0,00
01/06/1995;TELB4;0,00
01/06/1995;VIVT3;7219.75
01/06/1995;LAND3;0,00
01/06/1995;TIMS3;0,00
01/06/1995;SHOW3;0,00
01/06/1995;TOTS3;0,00
01/06/1995;TRPL4;0,00
01/06/1995;TRIS3;0,00
01/06/1995;TPIS3;0,00
01/06/1995;TUPY3;80.91
01/06/1995;UGPA3;0,00
01/06/1995;UCAS3;0,00
01/06/1995;UNIP6;140.23
01/06/1995;USIM5;1695.78
01/06/1995;VALE3;10489.75
01/06/1995;VLID3;0,00
01/06/1995;VIIA3;0,00
01/06/1995;VULC3;0,00
01/06/1995;WEGE3;297.55
01/06/1995;PORT3;0,00
01/06/1995;YDUQ3;0,00
01/06/1996;AESB3;0,00
01/06/1996;AALR3;0,00
01/06/1996;ALPA4;111.28
01/06/1996;ALUP11;0,00
01/06/1996;ABEV3;4191.07
01/06/1996;AMER3;0,00
01/06/1996;ANIM3;0,00
01/06/1996;ARZZ3;0,00
01/06/1996;AZEV4;3.65
01/06/1996;BLUT4;1.1
01/06/1996;BRAP3;0,00
01/06/1996;BRAP4;0,00
01/06/1996;AGRO3;0,00
01/06/1996;BRKM5;716.31
