Data;Ticker;MarketCap;P/VP;Price;Rf
01/06/1995;AESB3;0;0;0;0.00124300003997213
01/06/1995;AALR3;0;0;0;0.00124300003997213
01/06/1995;ALPA4;221.64;0.56247477759;0.11256134653;0.00124300003997213
01/06/1995;ALUP11;0;0;0;0.00124300003997213
01/06/1995;ABEV3;276.13;28.208.506.671;0.10523780517;0.00124300003997213
01/06/1995;AMER3;0;0;0;0.00124300003997213
01/06/1995;ANIM3;0;0;0;0.00124300003997213
01/06/1995;ARZZ3;0;0;0;0.00124300003997213
01/06/1995;AZEV4;4.5;0.10070618434;0.35152095247;0.00124300003997213
01/06/1995;BLUT4;7.93;0;31.658.049.785;0.00124300003997213
01/06/1995;BRAP3;0;0;0;0.00124300003997213
01/06/1995;BRAP4;0;0;0;0.00124300003997213
01/06/1995;AGRO3;0;0;0;0.00124300003997213
01/06/1995;BRKM5;841.5;0;13.343.611.029;0.00124300003997213
01/06/1995;BRFS3;314.21;0;0;0.00124300003997213
01/06/1995;CCRO3;0;0;0;0.00124300003997213
01/06/1995;CLSC4;341.94;0;31.883.495.382;0.00124300003997213
01/06/1995;CMIG4;2666.3;0;0.25794974527;0.00124300003997213
01/06/1995;CESP6;2345.4;0;0;0.00124300003997213
01/06/1995;COCE5;0;0;0.091794685969;0.00124300003997213
01/06/1995;COGN3;0;0;0;0.00124300003997213
01/06/1995;CGAS5;0;0;0;0.00124300003997213
01/06/1995;CSMG3;0;0;0;0.00124300003997213
01/06/1995;CPLE6;1666.83;0;0;0.00124300003997213
01/06/1995;CSAN3;0;0;0;0.00124300003997213
01/06/1995;CPFE3;0;0;0;0.00124300003997213
01/06/1995;CRPG5;34.81;0;0.40520029581;0.00124300003997213
01/06/1995;CARD3;0;0;0;0.00124300003997213
01/06/1995;CVCB3;0;0;0;0.00124300003997213
01/06/1995;CYRE3;0;0;0;0.00124300003997213
01/06/1995;DASA3;0;0;0;0.00124300003997213
01/06/1995;DXCO3;0;0;0;0.00124300003997213
01/06/1995;DEXP3;0;0;0;0.00124300003997213
01/06/1995;PNVL3;22.9;0.43133122756;0.060957235003;0.00124300003997213
01/06/1995;DIRR3;0;0;0;0.00124300003997213
01/06/1995;ECOR3;0;0;0;0.00124300003997213
01/06/1995;ELET3;14135.78;0.20658138533;36.808.984.657;0.00124300003997213
01/06/1995;EMBR3;51.9;0;0.27887624339;0.00124300003997213
01/06/1995;ENAT3;0;0;0;0.00124300003997213
01/06/1995;ENBR3;0;0;0;0.00124300003997213
01/06/1995;ENGI3;0;#VALOR!;#VALOR!;0.00124300003997213
01/06/1995;ENEV3;0;0;0;0.00124300003997213
01/06/1995;EGIE3;0;0;0;0.00124300003997213
01/06/1995;EQTL3;0;0;0;0.00124300003997213
01/06/1995;ETER3;181.9;0;0.21379859863;0.00124300003997213
01/06/1995;EUCA4;59.64;0.19792896386;11.217.008.531;0.00124300003997213
01/06/1995;EVEN3;0;0;0;0.00124300003997213
01/06/1995;EZTC3;0;0;0;0.00124300003997213
01/06/1995;FHER3;0;0;0;0.00124300003997213
01/06/1995;FESA4;24.72;0.18078015812;0.064928721465;0.00124300003997213
01/06/1995;FLRY3;0;0;0;0.00124300003997213
01/06/1995;FRAS3;11.23;-0.46057131507;0.12873623202;0.00124300003997213
01/06/1995;GFSA3;0;0;0;0.00124300003997213
01/06/1995;GGBR4;1.4;0;0.077819559458;0.00124300003997213
01/06/1995;GOAU4;71.61;0.16600319686;0.080604620513;0.00124300003997213
01/06/1995;GRND3;0;0;0;0.00124300003997213
01/06/1995;NTCO3;0;0;0;0.00124300003997213
01/06/1995;GUAR3;99.58;0.33117035693;0.10020315215;0.00124300003997213
01/06/1995;HBOR3;0;0;0;0.00124300003997213
01/06/1995;HYPE3;0;0;0;0.00124300003997213
01/06/1995;PARD3;0;0;0;0.00124300003997213
01/06/1995;MEAL3;0;0;0;0.00124300003997213
01/06/1995;ROMI3;68.25;0;0.21941677899;0.00124300003997213
01/06/1995;MYPK3;97.19;0.40808809083;12.249.214.482;0.00124300003997213
01/06/1995;RANI3;0;0;0.059638466818;0.00124300003997213
01/06/1995;JBSS3;0;0;0;0.00124300003997213
01/06/1995;JHSF3;0;0;0;0.00124300003997213
01/06/1995;KEPL3;0;0;0;0.00124300003997213
01/06/1995;KLBN11;751.33;0;0;0.00124300003997213
01/06/1995;LIGT3;3231.55;0;36.240.382.227;0.00124300003997213
01/06/1995;RENT3;0;0;0;0.00124300003997213
01/06/1995;LCAM3;0;0;0;0.00124300003997213
